customer_id,signup_date,churn_date,plan,country,age,monthly_fee,payment_method,acquisition_channel,contract_type,support_tickets,login_frequency,days_since_last_login,churn_flag,status,annual_revenue
C00001,2025-03-31,,Basic,Australia,32,19,UPI,Email,Monthly,0,1.95,10,0,Active,228
C00002,2024-07-31,2025-09-19,Basic,United Kingdom,39,19,Credit Card,Paid Search,Annual,1,13.21,1,1,Churned,228
C00003,2024-11-29,2025-09-25,Basic,India,44,19,UPI,Paid Search,Monthly,2,24.8,18,1,Churned,228
C00004,2025-10-24,2025-12-20,Basic,United Kingdom,24,19,Credit Card,Organic Search,Monthly,2,8.25,7,1,Churned,228
C00005,2026-02-06,,Standard,Canada,25,49,UPI,Referral,Annual,2,5.36,16,0,Active,588
C00006,2024-04-21,,Premium,United States,61,99,Debit Card,Paid Search,Annual,1,6.95,1,0,Active,1188
C00007,2025-05-04,,Basic,Australia,41,19,Debit Card,Organic Search,Monthly,1,8.62,21,0,Active,228
C00008,2025-03-03,,Basic,United Kingdom,34,19,PayPal,Referral,Annual,5,19.34,3,0,Active,228
C00009,2024-04-11,,Standard,Canada,57,49,Debit Card,Referral,Monthly,4,11.25,5,0,Active,588
C00010,2025-12-19,,Basic,India,49,19,PayPal,Partner,Monthly,1,12.68,21,0,Active,228
C00011,2025-09-20,,Standard,Canada,19,49,Debit Card,Email,Monthly,1,16.81,12,0,Active,588
C00012,2025-03-31,,Basic,Canada,42,19,UPI,Partner,Monthly,3,0.0,18,0,Active,228
C00013,2025-11-19,,Basic,United Kingdom,59,19,PayPal,Referral,Monthly,4,2.41,14,0,Active,228
C00014,2025-10-12,,Basic,India,19,19,Debit Card,Social Media,Monthly,2,13.7,14,0,Active,228
C00015,2025-01-20,2025-05-27,Basic,Canada,28,19,PayPal,Referral,Monthly,2,9.53,24,1,Churned,228
C00016,2024-10-07,,Basic,Australia,20,19,PayPal,Social Media,Monthly,1,6.69,19,0,Active,228
C00017,2024-12-03,,Standard,United States,57,49,Credit Card,Referral,Monthly,4,18.82,40,0,Active,588
C00018,2026-04-25,,Basic,Germany,29,19,Credit Card,Email,Annual,4,16.27,32,0,Active,228
C00019,2026-03-13,,Basic,India,52,19,Credit Card,Email,Monthly,3,11.98,11,0,Active,228
C00020,2024-10-16,,Basic,United Kingdom,34,19,PayPal,Organic Search,Monthly,2,11.94,19,0,Active,228
C00021,2024-03-10,,Premium,United Kingdom,51,99,Credit Card,Partner,Monthly,2,19.4,18,0,Active,1188
C00022,2025-03-12,2025-08-12,Basic,Canada,45,19,Debit Card,Email,Monthly,0,11.38,22,1,Churned,228
C00023,2026-01-19,2025-12-31,Premium,United Kingdom,50,99,PayPal,Email,Monthly,1,15.55,15,1,Churned,1188
C00024,2024-11-29,,Standard,Germany,41,49,Debit Card,Partner,Monthly,1,14.25,32,0,Active,588
C00025,2024-09-08,,Basic,United States,52,19,Debit Card,Organic Search,Monthly,0,6.08,19,0,Active,228
C00026,2024-07-31,,Basic,Germany,33,19,Debit Card,Social Media,Annual,3,12.75,16,0,Active,228
C00027,2025-08-18,,Basic,United States,23,19,UPI,Partner,Monthly,3,10.04,19,0,Active,228
C00028,2025-08-13,,Basic,United Kingdom,57,19,PayPal,Email,Annual,0,5.46,1,0,Active,228
C00029,2025-06-24,,Standard,United States,54,49,Debit Card,Email,Monthly,1,11.42,23,0,Active,588
C00030,2026-04-18,2025-12-31,Basic,Germany,42,19,PayPal,Email,Monthly,3,8.35,2,1,Churned,228
C00031,2024-08-11,,Standard,India,46,49,Debit Card,Social Media,Monthly,3,0.0,4,0,Active,588
C00032,2025-11-16,,Basic,Germany,54,19,UPI,Paid Search,Monthly,0,19.21,1,0,Active,228
C00033,2025-09-11,2025-10-12,Standard,India,22,49,Credit Card,Social Media,Monthly,0,15.24,16,1,Churned,588
C00034,2025-01-07,,Standard,United States,52,49,PayPal,Organic Search,Monthly,4,9.57,17,0,Active,588
C00035,2026-04-25,,Basic,United States,27,19,Debit Card,Partner,Annual,0,16.76,29,0,Active,228
C00036,2025-06-16,,Premium,Canada,42,99,Credit Card,Email,Monthly,4,8.65,26,0,Active,1188
C00037,2025-12-25,,Premium,Australia,29,99,Credit Card,Email,Annual,2,4.28,6,0,Active,1188
C00038,2026-01-25,,Basic,Canada,29,19,Credit Card,Organic Search,Annual,4,13.01,6,0,Active,228
C00039,2025-07-28,2025-10-23,Standard,Australia,53,49,Credit Card,Organic Search,Monthly,0,1.55,32,1,Churned,588
C00040,2024-06-23,2025-08-27,Premium,United Kingdom,28,99,Debit Card,Social Media,Monthly,0,13.22,9,1,Churned,1188
C00041,2026-03-01,,Basic,United States,44,19,Debit Card,Paid Search,Monthly,3,8.68,28,0,Active,228
C00042,2024-11-27,,Basic,Australia,61,19,Debit Card,Referral,Monthly,1,19.22,1,0,Active,228
C00043,2024-04-28,,Standard,Australia,58,49,UPI,Organic Search,Monthly,2,0.0,26,0,Active,588
C00044,2025-10-29,,Premium,Australia,49,99,Credit Card,Email,Monthly,4,9.64,9,0,Active,1188
