customer_id,signup_date,churn_date,plan,country,age,monthly_fee,payment_method,acquisition_channel,contract_type,support_tickets,login_frequency,days_since_last_login,churn_flag,status,annual_revenue,tenure_days,tenure_months,estimated_clv,risk_score,risk_category
C00001,2025-03-31,,Basic,Australia,32,19,UPI,Email,Monthly,0,1.95,10,0,Active,228,275,9.2,174.8,1,Medium Risk
C00002,2024-07-31,2025-09-19,Basic,United Kingdom,39,19,Credit Card,Paid Search,Annual,1,13.21,1,1,Churned,228,518,17.3,328.7,0,Low Risk
C00003,2024-11-29,2025-09-25,Basic,India,44,19,UPI,Paid Search,Monthly,2,24.8,18,1,Churned,228,397,13.2,250.8,1,Medium Risk
C00004,2025-10-24,2025-12-20,Basic,United Kingdom,24,19,Credit Card,Organic Search,Monthly,2,8.25,7,1,Churned,228,68,2.3,43.7,1,Medium Risk
C00005,2026-02-06,,Standard,Canada,25,49,UPI,Referral,Annual,2,5.36,16,0,Active,588,-37,-1.2,-58.8,0,Low Risk
C00006,2024-04-21,,Premium,United States,61,99,Debit Card,Paid Search,Annual,1,6.95,1,0,Active,1188,619,20.6,2039.4,0,Low Risk
C00007,2025-05-04,,Basic,Australia,41,19,Debit Card,Organic Search,Monthly,1,8.62,21,0,Active,228,241,8.0,152.0,1,Medium Risk
C00008,2025-03-03,,Basic,United Kingdom,34,19,PayPal,Referral,Annual,5,19.34,3,0,Active,228,303,10.1,191.9,1,Medium Risk
C00009,2024-04-11,,Standard,Canada,57,49,Debit Card,Referral,Monthly,4,11.25,5,0,Active,588,629,21.0,1029.0,1,Medium Risk
C00010,2025-12-19,,Basic,India,49,19,PayPal,Partner,Monthly,1,12.68,21,0,Active,228,12,0.4,7.6,1,Medium Risk
C00011,2025-09-20,,Standard,Canada,19,49,Debit Card,Email,Monthly,1,16.81,12,0,Active,588,102,3.4,166.6,1,Medium Risk
C00012,2025-03-31,,Basic,Canada,42,19,UPI,Partner,Monthly,3,0.0,18,0,Active,228,275,9.2,174.8,1,Medium Risk
C00013,2025-11-19,,Basic,United Kingdom,59,19,PayPal,Referral,Monthly,4,2.41,14,0,Active,228,42,1.4,26.6,1,Medium Risk
C00014,2025-10-12,,Basic,India,19,19,Debit Card,Social Media,Monthly,2,13.7,14,0,Active,228,80,2.7,51.3,1,Medium Risk
C00015,2025-01-20,2025-05-27,Basic,Canada,28,19,PayPal,Referral,Monthly,2,9.53,24,1,Churned,228,345,11.5,218.5,1,Medium Risk
C00016,2024-10-07,,Basic,Australia,20,19,PayPal,Social Media,Monthly,1,6.69,19,0,Active,228,450,15.0,285.0,1,Medium Risk
C00017,2024-12-03,,Standard,United States,57,49,Credit Card,Referral,Monthly,4,18.82,40,0,Active,588,393,13.1,641.9,2,High Risk
C00018,2026-04-25,,Basic,Germany,29,19,Credit Card,Email,Annual,4,16.27,32,0,Active,228,-115,-3.8,-72.2,1,Medium Risk
C00019,2026-03-13,,Basic,India,52,19,Credit Card,Email,Monthly,3,11.98,11,0,Active,228,-72,-2.4,-45.6,1,Medium Risk
C00020,2024-10-16,,Basic,United Kingdom,34,19,PayPal,Organic Search,Monthly,2,11.94,19,0,Active,228,441,14.7,279.3,1,Medium Risk
C00021,2024-03-10,,Premium,United Kingdom,51,99,Credit Card,Partner,Monthly,2,19.4,18,0,Active,1188,661,22.0,2178.0,1,Medium Risk
C00022,2025-03-12,2025-08-12,Basic,Canada,45,19,Debit Card,Email,Monthly,0,11.38,22,1,Churned,228,294,9.8,186.2,1,Medium Risk
C00023,2026-01-19,2025-12-31,Premium,United Kingdom,50,99,PayPal,Email,Monthly,1,15.55,15,1,Churned,1188,-19,-0.6,-59.4,1,Medium Risk
C00024,2024-11-29,,Standard,Germany,41,49,Debit Card,Partner,Monthly,1,14.25,32,0,Active,588,397,13.2,646.8,2,High Risk
C00025,2024-09-08,,Basic,United States,52,19,Debit Card,Organic Search,Monthly,0,6.08,19,0,Active,228,479,16.0,304.0,1,Medium Risk
C00026,2024-07-31,,Basic,Germany,33,19,Debit Card,Social Media,Annual,3,12.75,16,0,Active,228,518,17.3,328.7,0,Low Risk
C00027,2025-08-18,,Basic,United States,23,19,UPI,Partner,Monthly,3,10.04,19,0,Active,228,135,4.5,85.5,1,Medium Risk
C00028,2025-08-13,,Basic,United Kingdom,57,19,PayPal,Email,Annual,0,5.46,1,0,Active,228,140,4.7,89.3,0,Low Risk
C00029,2025-06-24,,Standard,United States,54,49,Debit Card,Email,Monthly,1,11.42,23,0,Active,588,190,6.3,308.7,1,Medium Risk
C00030,2026-04-18,2025-12-31,Basic,Germany,42,19,PayPal,Email,Monthly,3,8.35,2,1,Churned,228,-108,-3.6,-68.4,1,Medium Risk
C00031,2024-08-11,,Standard,India,46,49,Debit Card,Social Media,Monthly,3,0.0,4,0,Active,588,507,16.9,828.1,1,Medium Risk
C00032,2025-11-16,,Basic,Germany,54,19,UPI,Paid Search,Monthly,0,19.21,1,0,Active,228,45,1.5,28.5,1,Medium Risk
C00033,2025-09-11,2025-10-12,Standard,India,22,49,Credit Card,Social Media,Monthly,0,15.24,16,1,Churned,588,111,3.7,181.3,1,Medium Risk
